SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@]4(CO4)[C@H]3OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4COC[C@@]4(O)[C@H]3OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
C[C@@]12O[C@@]1(OCO)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O[C@@H]2CO,False,C12H14N4O7,326.0862,23
C[C@]1(O)[C@H]2CO[C@@]1(OCO)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,False,C12H14N4O7,326.0862,23
C[C@]12O[C@@]1(CO)O[C@@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)[C@@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@@]1(O)[C@@H](OCO)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]12CO2,False,C12H14N4O7,326.0862,23
C[C@]12O[C@](n3cnc4c(=O)[nH]c(=O)[nH]c43)(O[C@@H]1CO)[C@@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@@]1(O)[C@@H](OCO)[C@]2(n3cnc4c(=O)[nH]c(=O)[nH]c43)OC[C@H]1O2,False,C12H14N4O7,326.0862,23
C[C@]12OC(O)[C@H]1O[C@@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)[C@@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@]12Oc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@H](O[C@@H]1CO)[C@@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@]1(O)[C@H]2COc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@H](O2)[C@@H]1OCO,False,C12H14N4O7,326.0862,23
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@]1(C)O,False,C12H16N4O6,312.107,22
C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC=O)[C@@]1(C)O,False,C12H14N4O6,310.0913,22
C[C@]1(O)[C@@H](C(=O)O)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]1OC=O,False,C12H12N4O8,340.0655,24
C[C@H]1O[C@](CO)(n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC=O)[C@@H]1O,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@]4(CO)CO[C@H]4[C@H]3OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2ncn([C@@H]3OC4(COC4)[C@@H](O)[C@H]3OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
C[C@]12CO[C@@]1(O)[C@@H](OCO)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,False,C12H14N4O7,326.0862,23
C[C@@]12O[C@@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)[C@H](OCO)[C@@H]1OC2O,False,C12H14N4O7,326.0862,23
C[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@]2(OCO)O[C@@H]21,False,C12H14N4O7,326.0862,23
C[C@@]12CO[C@@](OCO)([C@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)O1)[C@@H]2O,False,C12H14N4O7,326.0862,23
C[C@@]1(CO)O[C@@]2(n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@H]1[C@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@@]12CO[C@](n3cnc4c(=O)[nH]c(=O)[nH]c43)(O1)[C@H](OCO)[C@@H]2O,False,C12H14N4O7,326.0862,23
C[C@@]1(CO)O[C@@H]2[C@H](OCO)[C@@H]1Oc1nc3c(=O)[nH]c(=O)[nH]c3n12,False,C12H14N4O7,326.0862,23
C[C@@]12COc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@H](O1)[C@H](OCO)[C@@H]2O,False,C12H14N4O7,326.0862,23
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@](C)(CO)[C@H]1O,False,C12H16N4O6,312.107,22
CC1(C)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC=O)[C@@H]1O,False,C12H14N4O6,310.0913,22
C[C@@]1(C(=O)O)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC=O)[C@@H]1O,False,C12H12N4O8,340.0655,24
O=c1[nH]c(=O)c2nc3n(c2[nH]1)[C@@H]1O[C@H](CO)[C@@H](OC3)[C@H]1OCO,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2nc3n(c2[nH]1)[C@@H]1O[C@H](COC3)[C@@H](O)[C@H]1OCO,False,C12H14N4O7,326.0862,23
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@]12O[C@@H]([C@H]1OCO)[C@@H](CO)O2,False,C12H14N4O7,326.0862,23
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@]12OC[C@@H](O1)[C@@H](O)[C@H]2OCO,False,C12H14N4O7,326.0862,23
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@H]2O[C@]21OCO,False,C12H14N4O7,326.0862,23
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@@H]2CO[C@]1(OCO)[C@@H]2O,False,C12H14N4O7,326.0862,23
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@@H]2CO[C@@]2(O)[C@H]1OCO,False,C12H14N4O7,326.0862,23
