SMILES,Is_Starter,SourceDirectories
CC(C)=CCc1c(O)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(O)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=C(O)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)CO,False,starter_00014
CC1(C)OC1Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1(O)C([C@H]2CCc3cncn32)=C(F)C=C(C#N)C1O,False,starter_00014
CC(C)=CCC1(O)C=C(C#N)C=C(F)C1(O)[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1=CC(C#N)=CC(O)(F)C1(O)[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1=C([C@H]2CCc3cncn32)C(F)=CC(O)(C#N)C1O,False,starter_00014
CC(C)=CCC1=C([C@H]2CCc3cncn32)C(O)(F)C(O)C(C#N)=C1,False,starter_00014
CC(C)=CCC1=CC(O)(C#N)C(O)C(F)=C1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1=C([C@H]2CCc3cncn32)C2(F)OC2C(C#N)=C1,False,starter_00014
CC(C)=CCC1=CC2(C#N)OC2C(F)=C1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1=C([C@H]2CCc3cncn32)C(F)=CC2(C#N)OC12,False,starter_00014
CC(C)=CCC1=CC(C#N)=CC2(F)OC12[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC12OC1C(C#N)=CC(F)=C2[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC12C=C(C#N)C=C(F)C1([C@H]1CCc3cncn31)O2,False,starter_00014
CC(C)(O)CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)C(O)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
