DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key,Canonical_SMILES
DB13991,,Pipequaline,77472-98-1,J3S205V4I2,2-Phenyl-4-(2-(4-piperidyl)ethyl)quinoline | Pipequalina | Pipequaline | Pipequalinum,AMEWZCMTSIONOX-UHFFFAOYSA-N,c1ccc(-c2cc(CCC3CCNCC3)c3ccccc3n2)cc1
DB13992,,Azintamide,1830-32-6,ACZ6L64B41,Azintamid | Azintamida | Azintamide | Azintamidum | Oragallin,SSLKKMZJCJBOML-UHFFFAOYSA-N,CCN(CC)C(=O)CSc1ccc(Cl)nn1
DB13993,,MRK-409,233275-76-8,9VSE02330I,,GOIFCXRIFSYPFG-UHFFFAOYSA-N,Cn1ncnc1COc1nn2c(-c3c(F)cccc3F)nnc2cc1C1CCC1
DB13994,,AZD-7325,942437-37-8,KNM216XOUH,,KYDURMHFWXCKMW-UHFFFAOYSA-N,CCCNC(=O)c1nnc2c(-c3c(F)cccc3OC)cccc2c1N
DB13995,DBSALT001314,Ferric pyrophosphate citrate,1802359-96-1,UBY79OCO9G,Ferric pyrophosphate citrate | FPC | SFP | Tetraferric nonahydrogen citrate pyrophosphate | Triferic,SXAWSYZURCZSDX-UHFFFAOYSA-B,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=P(O)(O)OP(=O)(O)O.O=P(O)(O)OP(=O)(O)O.O=P([O-])([O-])OP(=O)([O-])O.[Fe+3].[Fe+3].[Fe+3].[Fe+3]
DB13996,DBSALT001426,Magnesium acetate,142-72-3,0E95JZY48K,"acetato de magnesio | acetic acid magnesium salt | Acetic acid, magnesium salt (2:1) | Magnesium acetate | Magnesium di(acetate) | magnesium diacetate | Mg(II) acetate",UEGPKNKPLBYCNK-UHFFFAOYSA-L,CC(=O)[O-].CC(=O)[O-].[Mg+2]
DB13997,,Baloxavir marboxil,1985606-14-1,505CXM6OHG,Baloxavir marboxil,RZVPBGBYGMDSBG-GGAORHGYSA-N,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O
DB14000,,Tetraglyme,143-24-8,78L136FLZ9,bis[2-(2-methoxyethoxy)ethyl] ether | dimethoxytetraethylene glycol | Glyme 5 | TEGDME | tetraethylene glycol dimethyl ether | Tetraglyme,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC
DB14001,DBSALT001494,alpha-Tocopherol succinate,4345-03-3,LU4B53JYVE,"(+)-alpha-Tocopheryl succinate | alpha-Tocopheryl acid succinate | alpha-Tocopheryl succinate | alpha-Vitamin E succinate | d-alpha-Tocopherol acid succinate | Tocopheryl acid succinate,D-alpha | Vitamin E hemisuccinate | Vitamin E succinate",IELOKBJPULMYRW-NJQVLOCASA-N,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DB14002,DBSALT001457,D-alpha-Tocopherol acetate,58-95-7,A7E6112E4N,"(+)-alfa-tocopherol acetate | alpha-tocopheryl acetate, D- | D-alpha tocoferil acetate | D-alpha tocopheryl acetate | D-alpha-Tocopheryl acetate | RRR-alpha-tocopheryl acetate | Vitamin E acetate, D-",ZAKOWWREFLAJOT-CEFNRUSXSA-N,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DB14006,DBSALT001576,Choline salicylate,2016-36-6,KD510K1IQW,Choline salicylate,UDKCHVLMFQVBAA-UHFFFAOYSA-M,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O
DB14007,DB11322 | DBSALT001589,Pentetic acid,67-43-6,7A314HQM0I,Diethylene triamine pentaacetic acid | Diethylenetriamine pentaacetic acid | Diethylenetriaminepentaacetate | Diethylenetriaminepentaacetic acid | DTP-A | DTPA | Pentetate | Pentetic acid,QPCDCPDFJACHGM-UHFFFAOYSA-N,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
DB14008,,Hispidulin,1447-88-7,N7F61604C2,"4',5,7-Trihydroxy-6-methoxyflavone | Dinatin | Hispidulin | Salvitin | Scutellarein 6-methyl ether",IHFBPDAQLQOCBX-UHFFFAOYSA-N,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O
DB14010,,"5-methoxy-N,N-dimethyltryptamine",1019-45-0,X0MKX3GWU9,"3-(2-dimethylaminoethyl)-5-methoxyindole | 3-[2-(N,N-Dimethylamino)ethyl]-5-methoxy-indole | 5-MeO-DMT | 5-methoxy-N,N-dimethyl-1H-indole-3-ethanamine | 5-methoxy-N,N-dimethyltryptamine | MeODMT | Methoxybufotenin | N,N-dimethyl-5-methoxytryptamine | O-methylbufotenine",ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1
DB14011,,Nabiximols,56575-23-6,K4H93P747O,Nabiximols,SSNHGLKFJISNTR-DYSNNVSPSA-N,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O.CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
DB14013,,SR-9009,1379686-30-2,X5DCA09N30,"1-Pyrrolidinecarboxylic acid, 3-((((4-chlorophenyl)methyl)((5-nitro-2-thienyl)methyl)amino)methyl)-, ethyl ester",MMJJNHOIVCGAAP-UHFFFAOYSA-N,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1
