SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C#N)n1cnc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
C[C@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1OC(O)C#N,False,C13H16N6O5,336.1182,24
CC(O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@@]1(O)C#N,False,C13H16N6O5,336.1182,24
C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1OC(O)C#N,False,C13H16N6O5,336.1182,24
CC(O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C#N)(CO)[C@H]1O,False,C13H16N6O5,336.1182,24
C[C@@]1(CO)O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(O)C#N)[C@@H]1O,False,C13H16N6O5,336.1182,24
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C#N)nc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(O)C#N,False,C13H16N6O5,336.1182,24
CC(O)O[C@@H]1[C@H](O)[C@@H](C(O)C#N)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
CC(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(O)C#N)[C@@H]1O,False,C13H16N6O5,336.1182,24
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(C#N)nc21,False,C13H16N6O5,336.1182,24
Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3OC(O)C#N)c2n1,False,C13H16N6O5,336.1182,24
N#CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C12H12N6O5,320.0869,23
CC(C#N)O[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(N)ncnc21,False,C13H14N6O4,318.1077,23
COC(C)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H18N6O5,350.1339,25
CC(=O)OC(C)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C15H18N6O6,378.1288,27
