SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC1=C(N)C(C(C)C=O)OC1=O,False,C8H11NO3,169.0739,12
CC(C=O)C1OC(=O)C(C=O)=C1N,False,C8H9NO4,183.0532,13
CC(=O)C1(C)OC(=O)C=C1N,False,C7H9NO3,155.0582,11
CC(=O)C1=C(N)C(C)OC1=O,False,C7H9NO3,155.0582,11
CC1=NC2=CC(=O)OC2C1,False,C7H7NO2,137.0477,10
CCC(=O)CC1OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CC(=O)CC1OC(=O)C=C1NC(C)=O,False,C9H11NO4,197.0688,14
CC(O)(C#N)CC1OC(=O)C=C1N,False,C8H10N2O3,182.0691,13
CC(N)CC1OC(=O)C=C1N,False,C7H12N2O2,156.0899,11
NC1=CC(=O)OC1CC(=O)CO,False,C7H9NO4,171.0532,12
CC(=O)C(O)C1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
COC(=O)CC1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
CC(=O)OCC1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
NC1=CC(O)OC1CC(=O)CO,False,C7H11NO4,173.0688,12
CC(O)C(O)C1OC(=O)C=C1N,False,C7H11NO4,173.0688,12
CC(=O)C(O)C1OC(O)C=C1N,False,C7H11NO4,173.0688,12
CC(=O)CC(=O)CC1OC(=O)C=C1N,False,C9H11NO4,197.0688,14
CC(=O)C(C(C)=O)C1OC(=O)C=C1N,False,C9H11NO4,197.0688,14
CC(=O)CC1(C)OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CC(=O)CC1(C(C)=O)OC(=O)C=C1N,False,C9H11NO4,197.0688,14
CC(=O)CC1OC(=O)C(C)=C1N,False,C8H11NO3,169.0739,12
CC(=O)CC1OC(=O)C(C(C)=O)=C1N,False,C9H11NO4,197.0688,14
O=CCCC(=O)NC1=CC(=O)OC1,False,C8H9NO4,183.0532,13
CC1OC(=O)C=C1NC(=O)CC=O,False,C8H9NO4,183.0532,13
CC1(CC=O)OC(=O)C=C1NC=O,False,C8H9NO4,183.0532,13
CC1=C(NC=O)C(CC=O)OC1=O,False,C8H9NO4,183.0532,13
CC(C=O)C1OC(=O)C=C1NC=O,False,C8H9NO4,183.0532,13
CC(=O)CC1OC(=O)C=C1NC=O,False,C8H9NO4,183.0532,13
CC(O)NC1=CC(=O)OC1CC=O,False,C8H11NO4,185.0688,13
CC(=O)N(C)C1=CC(=O)OC1CC=O,False,C9H11NO4,197.0688,14
CCC(=O)NC1=CC(=O)OC1CC=O,False,C9H11NO4,197.0688,14
CC(O)(C#N)NC1=CC(=O)OC1CC=O,False,C9H10N2O4,210.0641,15
CC(=O)NC1=CC(=O)OC1CC(O)C#N,False,C9H10N2O4,210.0641,15
CC(N)NC1=CC(=O)OC1CC=O,False,C8H12N2O3,184.0848,13
CC(=O)NC1=CC(=O)OC1CCN,False,C8H12N2O3,184.0848,13
O=CCC1OC(=O)C=C1NC=O,False,C7H7NO4,169.0375,12
CC(=O)NC1=CC(=O)OC1(C)CC=O,False,C9H11NO4,197.0688,14
CC(=O)NC1=C(C)C(=O)OC1CC=O,False,C9H11NO4,197.0688,14
N#CC(CO)C1OC(=O)C=C1N,False,C7H8N2O3,168.0535,12
N#CC1(CCO)OC(=O)C=C1N,False,C7H8N2O3,168.0535,12
N#CC1=C(N)C(CCO)OC1=O,False,C7H8N2O3,168.0535,12
N#CC(=O)CC1OC(=O)C=C1N,False,C7H6N2O3,166.0378,12
COC(C#N)CC1OC(=O)C=C1N,False,C8H10N2O3,182.0691,13
CC(=O)OC(C#N)CC1OC(=O)C=C1N,False,C9H10N2O4,210.0641,15
N#CC(Cl)CC1OC(=O)C=C1N,False,C7H7ClN2O2,186.0196,12
N#CC(O)(O)CC1OC(=O)C=C1N,False,C7H8N2O4,184.0484,13
N#CC(O)C(O)C1OC(=O)C=C1N,False,C7H8N2O4,184.0484,13
N#CC(O)(O)CC1OC(O)C=C1N,False,C7H10N2O4,186.0641,13
N#CC(O)C(O)C1OC(O)C=C1N,False,C7H10N2O4,186.0641,13
NC(=O)C(O)CC1OC(=O)C=C1N,False,C7H10N2O4,186.0641,13
NC1=CC(=O)OC1CC(O)C=NO,False,C7H10N2O4,186.0641,13
N#CCCC1OC(=O)C=C1N,False,C7H8N2O2,152.0586,11
CC1(CN)OC(=O)C=C1N,False,C6H10N2O2,142.0742,10
CC1OC(=O)C(CN)=C1N,False,C6H10N2O2,142.0742,10
NC1=CC2=NCCC1O2,False,C6H8N2O,124.0637,9
O=C1C=C2NCCC2O1,False,C6H7NO2,125.0477,9
CNCCC1OC(=O)C=C1N,False,C7H12N2O2,156.0899,11
CC(=O)NCCC1OC(=O)C=C1N,False,C8H12N2O3,184.0848,13
NC1=CC(=O)OC1CC(N)C(=O)O,False,C7H10N2O4,186.0641,13
NCC(C(=O)O)C1OC(=O)C=C1N,False,C7H10N2O4,186.0641,13
NC1=CC(=O)OC1CC(N)O,False,C6H10N2O3,158.0691,11
NCC(O)C1OC(=O)C=C1N,False,C6H10N2O3,158.0691,11
NC1=CC(O)OC1CC(N)O,False,C6H12N2O3,160.0848,11
NCC(O)C1OC(O)C=C1N,False,C6H12N2O3,160.0848,11
NC1=CC(=O)OC1(C=O)CO,False,C6H7NO4,157.0375,11
NC1=C(C=O)C(=O)OC1CO,False,C6H7NO4,157.0375,11
NC1=CC(=O)OC1,False,C4H5NO2,99.032,7
O=CC=O,False,C2H2O2,58.0055,4
NC1=CC(=O)OC1C=O,False,C5H5NO3,127.0269,9
O=C1C=C2N=CC(O)C2O1,False,C6H5NO3,139.0269,10
NC1=C2OC(CO)C1OC2=O,False,C6H7NO4,157.0375,11
NC1=CC(=O)OC1C(=O)C=O,False,C6H5NO4,155.0219,11
NC1=CC(=O)OC1C(O)=C=O,False,C6H5NO4,155.0219,11
COC(C=O)C1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
NC1=CC(=O)OC1C(Cl)C=O,False,C6H6ClNO3,175.0036,11
CC1(C(=O)O)OC(=O)C=C1N,False,C6H7NO4,157.0375,11
CC1OC(=O)C(C(=O)O)=C1N,False,C6H7NO4,157.0375,11
NC(C=CC(=O)O)=CC(=O)O,False,C6H7NO4,157.0375,11
O=C1C=C2N=C(O)CC2O1,False,C6H5NO3,139.0269,10
NC1=CC(=O)OC1C1OC1O,False,C6H7NO4,157.0375,11
NC1=CC(=O)OC12CC(O)O2,False,C6H7NO4,157.0375,11
NC1=C2OC(O)CC1OC2=O,False,C6H7NO4,157.0375,11
NC1=CC(=O)OC1CC(=O)Cl,False,C6H6ClNO3,175.0036,11
NC(=O)CC1OC(=O)C=C1N,False,C6H8N2O3,156.0535,11
N#CCC1OC(=O)C=C1N,False,C6H6N2O2,138.0429,10
O=C1C=C2N=COCC2O1,False,C6H5NO3,139.0269,10
COCC1OC(=O)C=C1N,False,C6H9NO3,143.0582,10
NC1=CC(=O)OC1CO,False,C5H7NO3,129.0426,9
CC1OC(O)C=C1N,False,C5H9NO2,115.0633,8
CC1OC(O)(C(=O)O)C=C1N,False,C6H9NO4,159.0532,11
NC1=CC(O)(CC(=O)O)OC1,False,C6H9NO4,159.0532,11
OC1=NC2=CC(O)OC2C1,False,C6H7NO3,141.0426,10
NC1=CC2(O)OC(O)CC1O2,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1C1OC1O,False,C6H9NO4,159.0532,11
NC1=CC2OC1C(C(O)O)O2,False,C6H9NO4,159.0532,11
NC1=CC(O)OC12CC(O)O2,False,C6H9NO4,159.0532,11
NC1=CC2OC1(CC(O)O)O2,False,C6H9NO4,159.0532,11
NC1=C2OC(O)CC1OC2O,False,C6H9NO4,159.0532,11
NC1=C2OC2OC1CC(O)O,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1CC=O,False,C6H9NO3,143.0582,10
